scope,bucket_granularity,bucket_key,bucket_label,theme,doc_count,bucket_total_docs,doc_share,early_share,late_share,trend_delta
community_announcements,day,2026-03-13,03-13,Launches & Release Timing,43,485,0.0887,0.0992,0.0993,0.0001
community_announcements,day,2026-03-14,03-14,Launches & Release Timing,25236,273032,0.0924,0.0992,0.0993,0.0001
community_announcements,day,2026-03-15,03-15,Launches & Release Timing,27436,306750,0.0894,0.0992,0.0993,0.0001
community_announcements,day,2026-03-16,03-16,Launches & Release Timing,31582,293505,0.1076,0.0992,0.0993,0.0001
community_announcements,day,2026-03-17,03-17,Launches & Release Timing,29074,284009,0.1024,0.0992,0.0993,0.0001
community_announcements,day,2026-03-18,03-18,Launches & Release Timing,1820,16308,0.1116,0.0992,0.0993,0.0001
community_announcements,day,2026-03-19,03-19,Launches & Release Timing,9556,86550,0.1104,0.0992,0.0993,0.0001
community_announcements,day,2026-03-20,03-20,Launches & Release Timing,12827,125734,0.1020,0.0992,0.0993,0.0001
community_announcements,day,2026-03-21,03-21,Launches & Release Timing,156,1580,0.0987,0.0992,0.0993,0.0001
community_announcements,day,2026-03-22,03-22,Launches & Release Timing,112,1153,0.0971,0.0992,0.0993,0.0001
community_announcements,day,2026-03-23,03-23,Launches & Release Timing,332,2779,0.1195,0.0992,0.0993,0.0001
community_announcements,day,2026-03-24,03-24,Launches & Release Timing,297,2600,0.1142,0.0992,0.0993,0.0001
community_announcements,day,2026-03-25,03-25,Launches & Release Timing,547,4740,0.1154,0.0992,0.0993,0.0001
community_announcements,day,2026-03-26,03-26,Launches & Release Timing,4548,40045,0.1136,0.0992,0.0993,0.0001
community_announcements,day,2026-03-27,03-27,Launches & Release Timing,2554,28075,0.0910,0.0992,0.0993,0.0001
community_announcements,day,2026-03-28,03-28,Launches & Release Timing,1034,12585,0.0822,0.0992,0.0993,0.0001
community_announcements,day,2026-03-29,03-29,Launches & Release Timing,5453,69640,0.0783,0.0992,0.0993,0.0001
community_announcements,day,2026-03-30,03-30,Launches & Release Timing,6028,65737,0.0917,0.0992,0.0993,0.0001
community_announcements,day,2026-03-31,03-31,Launches & Release Timing,2498,25796,0.0968,0.0992,0.0993,0.0001
community_announcements,day,2026-04-01,04-01,Launches & Release Timing,354,2988,0.1185,0.0992,0.0993,0.0001
community_announcements,day,2026-04-02,04-02,Launches & Release Timing,298,2149,0.1387,0.0992,0.0993,0.0001
community_announcements,day,2026-04-03,04-03,Launches & Release Timing,251,1895,0.1325,0.0992,0.0993,0.0001
community_announcements,day,2026-04-04,04-04,Launches & Release Timing,209,1158,0.1805,0.0992,0.0993,0.0001
community_announcements,day,2026-04-05,04-05,Launches & Release Timing,109,787,0.1385,0.0992,0.0993,0.0001
community_announcements,day,2026-04-06,04-06,Launches & Release Timing,782,5470,0.1430,0.0992,0.0993,0.0001
community_announcements,day,2026-03-13,03-13,Major Content Updates,32,485,0.0660,0.0485,0.0518,0.0033
community_announcements,day,2026-03-14,03-14,Major Content Updates,13837,273032,0.0507,0.0485,0.0518,0.0033
community_announcements,day,2026-03-15,03-15,Major Content Updates,15710,306750,0.0512,0.0485,0.0518,0.0033
community_announcements,day,2026-03-16,03-16,Major Content Updates,12842,293505,0.0438,0.0485,0.0518,0.0033
