scope,series_type,label,adds,removes,net_apps,total_moves,sample_apps
all-games,raw-genre,Early Access,66,65,1,131,"Boardlike, Night Light, Univoyager"
all-games,raw-genre,Casual,49,29,20,78,"DETOUR, Nomad Drive, Project: Haste"
all-games,raw-genre,Indie,59,14,45,73,"Flipping is Hard, Joker Madness 🃏, Lens Of Fear"
all-games,raw-genre,Free to Play,41,25,16,66,"Dark Pixel, Deluge, Dice Shaper"
all-games,raw-genre,Adventure,37,14,23,51,"Alder Forge 2, Foul Deeds of Iblis, Red: Flame & Fable"
all-games,raw-genre,Action,30,18,12,48,"Hello World, Oh Ship!, Red: Flame & Fable"
all-games,raw-genre,Simulation,23,24,-1,47,"A Webbing Journey, DeadPoly, Flipping is Hard"
all-games,raw-genre,Strategy,30,16,14,46,"Alder Forge 2, Hello World, Mind Flowers"
all-games,raw-genre,RPG,26,17,9,43,"Abyss Diver, Arkus, Mhystaria"
all-games,raw-genre,Massively Multiplayer,7,6,1,13,"Farm Renovator, Nomad Drive, Spire of Ash"
all-games,raw-genre,Racing,5,4,1,9,"DETOUR, Hyperlane Highway, Machine Mind"
all-games,raw-genre,Sports,3,5,-2,8,"Gladiatory, Off World Racing, One more time"
all-games,raw-genre,Accounting,0,1,-1,1,Tender Loving Care
all-games,raw-genre,Audio Production,0,1,-1,1,Tender Loving Care
all-games,raw-genre,Nudity,0,1,-1,1,Tender Loving Care
all-games,raw-genre,Sexual Content,0,1,-1,1,Tender Loving Care
all-games,raw-genre,Violent,0,1,-1,1,Titanic: Adventure Out Of Time
all-games,raw-tag,Indie,67,41,26,108,"Clair Obscur: Expedition 33, Frutiger Home, Hello World"
all-games,raw-tag,Singleplayer,51,47,4,98,"Dark Age Dinos, Hello World, Hyperlane Highway"
all-games,raw-tag,Early Access,37,35,2,72,"MY HERO : Before the Conquest, Night Light, 鱼肠剑与绣春刀 "
all-games,raw-tag,Casual,33,32,1,65,"A Webbing Journey, DETOUR, Greed Hunters"
all-games,raw-tag,Adventure,27,34,-7,61,"Alder Forge 2, Caribbean Tide, PatchWorld"
all-games,raw-tag,Action,24,31,-7,55,"Giant’s Heart, Hello World, Kleopatra"
all-games,raw-tag,3D,21,27,-6,48,"Hope in the City, Hyperlane Highway, INDOORS"
all-games,raw-tag,Atmospheric,30,16,14,46,"Caribbean Tide, Race Jam, The Secret Story Night Shift"
all-games,raw-tag,Colorful,23,23,0,46,"Hyperlane Highway, Impact to the Head, Mothership Down"
all-games,raw-tag,Simulation,21,23,-2,44,"Atre: Dominance Wars, PatchWorld, The Secret Story Night Shift"
all-games,raw-tag,Action-Adventure,18,25,-7,43,"Smoking Gun, The Secret Story 1996, ワンコワンコ大作戦"
all-games,raw-tag,Strategy,22,21,1,43,"Alder Forge 2, Siege of Acres, The Secret Story Night Shift"
all-games,raw-tag,Multiplayer,23,17,6,40,"Dark Age Dinos, Hello World, KILLGUN"
all-games,raw-tag,RPG,23,17,6,40,"Abyss Diver, Arkus, Atre: Dominance Wars"
all-games,raw-tag,Free to Play,31,6,25,37,"Mahjong Fest: Sakura Garden, コインスロット, 帝王霸业"
all-games,raw-tag,Retro,24,12,12,36,"Darwin's Paradox!, Fright Train, Project: Haste"
all-games,raw-tag,Choices Matter,20,16,4,36,"Caribbean Tide, Hakimi Blaster - Hakimi Survivors, Dicebinder"
all-games,raw-tag,Story Rich,24,11,13,35,"Caribbean Tide, Cry of Fear, The Secret Story Night Shift"
all-games,raw-tag,Stylized,20,12,8,32,"Fright Train, Frutiger Home, Hope in the City"
all-games,raw-tag,2D,18,14,4,32,"Red: Flame & Fable, Bones and Coins, Dogwood"
all-games,raw-tag,Co-op,18,14,4,32,"Code Velocity, Frutiger Home, KILLGUN"
all-games,raw-tag,Funny,18,14,4,32,"Dark Age Dinos, Hakimi Blaster - Hakimi Survivors, Isle of Food"
all-games,raw-tag,Combat,17,14,3,31,"Hello World, Hyperlane Highway, Mask of Soul"
all-games,raw-tag,Exploration,17,13,4,30,"Greed Hunters, Isle of Food, IT Solutions"
all-games,raw-tag,Fantasy,11,18,-7,29,"成为皇帝！我的万亿美女星球帝国, Kingdomino, Loot Goblin"
all-games,raw-tag,Dark,16,13,3,29,"Lens Of Fear, Siege of Acres, Smoking Gun"
all-games,raw-tag,Comedy,10,18,-8,28,"Hakimi Blaster - Hakimi Survivors, Race Jam, DEADLINE DELIVERY"
all-games,raw-tag,Cute,15,13,2,28,"Back To The Collis, Dark Age Dinos, Settle"
all-games,raw-tag,Difficult,20,6,14,26,"Project Roll, Siege of Acres, Aimlabs"
all-games,raw-tag,Artificial Intelligence,15,10,5,25,"Clair Obscur: Expedition 33, PatchWorld, ワンコワンコ大作戦"
all-games,raw-tag,Online Co-Op,14,11,3,25,"Dark Age Dinos, FULL METAL COFFIN, Hello World"
all-games,raw-tag,Arcade,19,5,14,24,"Fright Train, Hakimi Blaster - Hakimi Survivors, Kleopatra"
all-games,raw-tag,Physics,16,8,8,24,"Extreme Forklifting 3, Hyperlane Highway, Isle of Food"
all-games,raw-tag,Character Customization,14,10,4,24,"Fright Train, Hyperlane Highway, Siege of Acres"
all-games,raw-tag,Family Friendly,14,10,4,24,"ARC_the beginning, Space Elite Force II, Space Smash"
all-games,raw-tag,Sci-fi,13,11,2,24,"Hello World, Hyperlane Highway, 成为皇帝！我的万亿美女星球帝国"
all-games,raw-tag,Controller,10,13,-3,23,"Lens Of Fear, Piroot, 86'd"
all-games,raw-tag,Sexual Content,12,11,1,23,"AIKO: AI Girlfriend 3D Life Sim, 被击垮而堕落的强气人妻, RogueDiceR"
all-games,raw-tag,Top-Down,18,4,14,22,"Greed Hunters, Smoking Gun, Demon Hunters"
all-games,raw-tag,Relaxing,8,14,-6,22,"Hakimi Blaster - Hakimi Survivors, 成为皇帝！我的万亿美女星球帝国, Raccoon Valley Tycoon"
all-games,raw-tag,PvE,13,9,4,22,"Hyperlane Highway, Lens Of Fear, Super Chaos"
all-games,raw-tag,Action Roguelike,10,12,-2,22,"Kleopatra, Siege of Acres, Super Chaos"
all-games,raw-tag,Multiple Endings,12,10,2,22,"The Assessment, 成为皇帝！我的万亿美女星球帝国, 鱼肠剑与绣春刀 "
all-games,raw-tag,Pixel Graphics,12,10,2,22,"Settle, Tidy Shadows, Dungeonfall"
all-games,raw-tag,Sandbox,12,10,2,22,"Atre: Dominance Wars, The Secret Story Night Shift, Thug Life"
all-games,raw-tag,Inventory Management,11,11,0,22,"Fright Train, Hello World, Sexorcism: Lust Confession"
all-games,raw-tag,Roguelite,14,7,7,21,"Fright Train, Siege of Acres, Dicebinder"
all-games,raw-tag,Puzzle,12,9,3,21,"Back To The Collis, Defend Your Land, Kingdomino"
all-games,raw-tag,Roguelike,10,11,-1,21,"Apple Man Sam, Chernobots, Demon Hunters"
all-games,raw-tag,Tactical,10,11,-1,21,"Hello World, Joker Madness 🃏, Mothership Down"
all-games,raw-tag,Gambling,1,19,-18,20,"Dicesworn, Shells Shooter, Pegs X Stickers"
