dimension_type,series_type,label,label_key,group_label,adds,removes,window_net,total_moves,early_avg_net,late_avg_net,momentum_delta,sample_apps
theme,theme,Action & Combat,action & combat,Action & Combat,121,87,34,208,1.2500,3.2500,2.0000,"Alder Forge 2, Fright Train, Giant’s Heart"
theme,theme,Adventure & Story,adventure & story,Adventure & Story,107,77,30,184,1.5000,2.7500,1.2500,"Alder Forge 2, Caribbean Tide, Cry of Fear"
theme,theme,Atmosphere & Horror,atmosphere & horror,Atmosphere & Horror,52,34,18,86,0.0000,2.5000,2.5000,"Caribbean Tide, Homeless, Lens Of Fear"
theme,theme,Indie & Casual,indie & casual,Indie & Casual,242,164,78,406,7.5000,5.2500,-2.2500,"A Webbing Journey, ARC_the beginning, Back To The Collis"
theme,theme,Lifecycle & Business Model,lifecycle & business model,Lifecycle & Business Model,125,112,13,237,-2.2500,7.0000,9.2500,"Boardlike, Dark Pixel, Deluge"
theme,theme,Other,other,Other,468,461,7,929,0.5000,-1.0000,-1.5000,"A Webbing Journey, Adrift: In the Corners of Time, Alder Forge 2"
theme,theme,Play Modes & Social,play modes & social,Play Modes & Social,107,74,33,181,1.2500,3.5000,2.2500,"Code Velocity, Dark Age Dinos, Farm Renovator"
theme,theme,RPG & Fantasy,rpg & fantasy,RPG & Fantasy,88,66,22,154,0.5000,4.7500,4.2500,"Abyss Diver, Arkus, Atre: Dominance Wars"
theme,theme,Simulation & Sandbox,simulation & sandbox,Simulation & Sandbox,78,61,17,139,-0.5000,1.2500,1.7500,"A Webbing Journey, Atre: Dominance Wars, DeadPoly"
theme,theme,Sports & Racing,sports & racing,Sports & Racing,9,16,-7,25,-0.5000,0.2500,0.7500,"DETOUR, Hyperlane Highway, Machine Mind"
theme,theme,Strategy & Management,strategy & management,Strategy & Management,59,39,20,98,1.0000,0.5000,-0.5000,"Alder Forge 2, Hello World, Mind Flowers"
theme,theme,Tech & AI,tech & ai,Tech & AI,15,10,5,25,-0.2500,1.5000,1.7500,"Clair Obscur: Expedition 33, PatchWorld, ワンコワンコ大作戦"
theme,theme,Visual & Format,visual & format,Visual & Format,84,71,13,155,1.0000,1.2500,0.2500,"Darwin's Paradox!, Fright Train, Frutiger Home"
genre,raw-genre,Accounting,accounting,Genres,0,1,-1,1,0.0000,-0.2500,-0.2500,Tender Loving Care
genre,raw-genre,Action,action,Genres,30,18,12,48,0.7500,1.2500,0.5000,"Hello World, Oh Ship!, Red: Flame & Fable"
genre,raw-genre,Adventure,adventure,Genres,37,14,23,51,1.7500,1.5000,-0.2500,"Alder Forge 2, Foul Deeds of Iblis, Red: Flame & Fable"
genre,raw-genre,Audio Production,audio production,Genres,0,1,-1,1,0.0000,-0.2500,-0.2500,Tender Loving Care
